task	scientific_goal	state	population_class	dependency	backend	resources	job_or_pid	start_time_utc	expected_outputs	result
T-C1-rt-core-extraction	2 RT0-RT7/core	REVIEW_FAILED	ALREADY_EXPOSED (RT-EXACT-501561, operator lane 1)	none	local	16 threads, IO_MEDIUM	local 23.2s	2026-09-20T08:27Z	C1_rvt_envelopes.tsv; C1_summary.tsv; C1_controls.tsv	"REJECT: envelope table not a core asset (seq_len/core_seq blank); 67,272 no-hits OMITTED not flagged; ""frame recovery rate"" is a PF00078 call fraction. Numbers reconcile | 434,289/501,561 (0.865875) carry an RVT domain; median core 208 aa; panel positive 0.8959, shuffled 0.0000"
T-F1-motif-scan	4 RT features/motifs	COMPLETE_AWAITING_REVIEW	ALREADY_EXPOSED (RT-EXACT-501561, operator lane 1)	DATA:T-C1	local	1 thread, IO_LOW	local 48s	2026-09-20T09:05Z	F1_motif_hits.tsv; F1_x_residue_composition.tsv; F1_summary.tsv	not covered by review 01a0bdfa; awaiting its own review | 380,948/501,561 (0.7595) carry YxDD; 98.87% inside the RVT envelope; composition-matched chance rate 0.0784; YADD 64.1%, YVDD 13.3%, YMDD 8.9%
T-P1-relatedness-backbone	3 relatedness	VOID	ALREADY_EXPOSED (RT-EXACT-501561, operator lane 1)	DATA:Stage1	IBEX	32 CPU, 120G, batch, 8h limit	SLURM 52124966	2026-09-20T08:35Z	P1_clusters_id{4,5,6,7,8,9,95}.tsv; P1_level_summary.tsv	VOID: controls never gated, 2 never ran; duplicate control FAILED 98/100; monotonicity fails at every adjacent pair; controls CONTAMINATED the primary input. ERRATUM_01 also FALSE - 134 clusters DO span components | 7 levels over 501,861 seqs; clusters 53,289 (40%) to 266,964 (95%); seeded duplicates co-cluster 98-100/100, shuffled 0/100. SCOPE CORRECTED MID-RUN, see ERRATUM_01
T-N1-neighbourhood-extraction-qa	6 genomic architecture	REVIEW_FAILED	ALREADY_EXPOSED (RETRON-LOCI, operator lane 4)	DATA:Stage1	local	1 thread, ~40G RAM, IO_HIGH	local pid 288071	2026-09-20T09:12Z	N1_neighbourhood_per_record.tsv; N1_summary.tsv; N1_qa_breakdown.tsv	REJECT: negative control structurally forced to zero; 224,479/224,483 zero-neighbour rows are contig-edge clipped and unlanded; declared RETRON-LOCI but output is 3,028,196 raw records across all RT families | 3,028,196 anchored records over 44,310,231 CDS; median 15 neighbours; gaps 370/338 bp; 74.06% OK, 7.41% zero-neighbour. v1 VOIDED by its own control
T-M1-embedding-cache-verification	10 embeddings	ACCEPT_WITH_CHANGES	NO_POPULATION_SPEND	DATA:T-REG	local	1 thread, IO_HIGH	local 63s	2026-09-20T08:58Z	M1_collection_summary.tsv; M1_sampled_files.tsv	rt_positives_emb is MISIDENTIFIED - it is ncRNA positive-region embeddings, not RT; norms are inf from float16; no cache file hashed; stale v1 stdout says PASS while recording failures | 13,214 + 12,802 .npy; feature dim 1280 covers 1.0000; 0 non-finite, 0 degenerate in 4,000 fully read. v1 VOIDED by its own control
T-S1-structure-asset-inventory	5 structure	ACCEPT_WITH_CHANGES	NO_POPULATION_SPEND	DATA:T-REG	local	1 thread, IO_LOW	local 2s	2026-09-20T09:20Z	S1_structure_collections.tsv; S1_by_root.tsv; S1_summary.tsv	"all 97 collections independently rescanned and match exactly; ""0 missing"" means directories not files; 44,608 is files on disk, not unique structures | 97 structure collections, 44,608 files, 11.55 GB, 0 missing from disk"
T-REG3-content-hash	1 resource/database	COMPLETE_AWAITING_REVIEW	NO_POPULATION_SPEND	DATA:T-REG	local	1 thread, IO_HIGH	local pid 296981, 25s	2026-09-20T09:35Z	REG3_pin_groups.tsv; REG3_summary.tsv	not covered by review 01a0bdfa; awaiting its own review | 602 shared-pin groups; 245 identical content, 357 DISTINCT. The name+size pin is not content identity
T-PRIORWORK-task-audit	1-12 all, lane 6	COMPLETE_AWAITING_REVIEW	NO_POPULATION_SPEND	none	local	20 workers, IO_HIGH	local 1,451s + 152s	2026-09-20T05:22Z	PRIOR_WORK_*.tsv; TASK_PRIOR_WORK_*.tsv	estate sweep 707,902 files / 24 topics; governed-record sweep 13 roots x 4 substrates; 15/15 named anchors PASS
REVIEW-batch-one-scientific	1-12	COMPLETE	n/a	none	Codex	read-only thread 01a0bde9	kiyml5gw9	2026-09-20T09:00Z	scientific verdict	ACCEPT_WITH_CHANGES. Corrections applied to the synthesis, T-A0, T-A23, and T-P1's scope
T-A23d-primary-verification	12 orthogonality	READY_FOR_OPERATOR_REVIEW	EXPLORATORY (LIT-CROSSPAIR, external)	none	local	network	-	-	primary text for refs 32,33,35,36	SCOPE REDEFINED by the operator 2026-09-20: explicit primary-reference RESOLUTION from the SIM2019 bibliography/full text, NOT expansion by inference. Absorbs the T-A23c erratum. A retrieved record must be VERIFIED to BE the cited reference before any row re-attribution
T-A1-absolute-baselines	10 embeddings	READY_WAITING_OPERATOR	EXHAUSTED (PAIR-ELIG)	DATA:T-M1	local	CPU_MEDIUM	-	-	absolute baseline ladder	ranked #2 by scientific review; launcher unwritten, design is a scientific choice
T-A0b-lineage-partition-intervals	3+10	HELD_SCIENTIFIC_DEPENDENCY	EXHAUSTED (PAIR-ELIG)	was HARD:T-P1, edge WITHDRAWN	local	ZERO	-	-	lineage-blocked interval for C-28	T-P1 does NOT unblock this, but NOT for the reason first given: ERRATUM_02 shows a full-catalogue 50% clustering DOES cross components (134 clusters, largest 12, 8,941 paired RTs) while the old frozen groups span 0 of 2,455. The blocker is that the T-P1 run is VOID and that components hold multiple RT lineages, so the dependence is multi-membership. Needs a multiway/incidence-graph design
T-F3-retron-feature-contrast	4 RT features	HELD_SCIENTIFIC_DEPENDENCY	UNEXPOSED_CONFIRMATORY (RT-EXACT)	DATA:T-F1,T-F2; lineage design	local	CPU_MEDIUM	-	-	lineage-controlled feature contrast	inference, not preparation; needs an authorised lineage model
T-N2-neighbourhood-lineage-comparison	6 genomic architecture	HELD_SCIENTIFIC_DEPENDENCY	UNEXPOSED_CONFIRMATORY (RETRON-LOCI)	DATA:T-N1; SOFT:T-P1	local	CPU_MEDIUM	-	-	lineage-controlled neighbourhood comparison	inference; neighbourhood is a settled non-detector, description only
T-A5b1-rtdna-anchors	9 RT-DNA anchors	READY_WAITING_OPERATOR	UNEXPOSED_CONFIRMATORY (PANEL-RTDNA-81)	none	local	CPU_SMALL	-	-	81 RT-DNA coordinate anchors	operator lane 5 named it, but review found it DUPLICATES T-R1 and 62 of 81 anchors are measured producers overlapping T-A22's positive class
T-R1-rtdna-direct-mapping	9 RT-DNA anchors	READY_WAITING_OPERATOR	UNEXPOSED_CONFIRMATORY (PANEL-RTDNA-81)	none	local	CPU_SMALL	-	-	direct coordinate mapping	SAME TASK AS T-A5b1. Merge or differentiate before either spend
T-S2-foldseek-calibration	5 structure	READY_FOR_OPERATOR_REVIEW	NO_POPULATION_SPEND	DATA:T-S1	local	CPU_MEDIUM	-	-	structural method calibration	CORRECTED 2026-09-20 by the reconciliation session: foldseek IS installed. v10.941cd33 at /home/borg/miniconda3/envs/esmologs/bin/foldseek AND .../retrons/bin/foldseek, already registered in data/README.md L182, Ibex module foldseek/10-941cd33 at L194. The earlier 'NOT INSTALLED locally' entry was false - a fifth instance of CAPABILITY_STATE section 5. Blocked ONLY on an undeclared metric and threshold, which is a scientific specification
T-A7-stage3a-positive-control	5 structure	READY_WAITING_OPERATOR	UNEXPOSED_CONFIRMATORY (STRUCT-62 Tier B)	CONTROL:T-S2	local	CPU_SMALL	-	-	structural positive control	CIRCULAR as specified: would spend the same Tier B chains T-S3 then interprets
T-A19-withheld-model-control	8 ncRNA discovery	READY_WAITING_OPERATOR	UNEXPOSED_CONFIRMATORY (RETRON-LOCI)	DATA:T-C2,T-A6	local	CPU_MEDIUM	-	-	leave-one-subtype-out recovery	CIRCULAR: scores a CM-derived caller against CM-derived calls; one of five S07 reopening conditions, not sufficient alone
T-LINT5-prose-numbers-gated	1 resource/database	READY_WAITING_OPERATOR	NO_POPULATION_SPEND	record of T-LINT2	local	ZERO	-	-	numeric triage linter, third design	needs Tier C authorisation AND a separate task session the host will not spawn
REVIEW-six-executed-tasks	1-12	COMPLETE	n/a	all executed tasks	Codex	read-only thread 01a0bdfa	kzhpco1yb	2026-09-20T09:42Z	per-task verdict	NO unconditional ACCEPT. 3 REJECT (one VOID), 2 ACCEPT_WITH_CHANGES. None consumable: no TASK_REPORT.md anywhere
T-C1b-pf00078-envelope-census	2 RT0-RT7/core	COMPLETE_AWAITING_REVIEW	INSPECTED_FOR_ENDPOINT (rt_profile_detection)	none	local	14 threads	freeze c77adb9	2026-09-20T11:5xZ	C1b_envelopes.tsv (501,561 rows); C1b_by_family.tsv	PASS 4/4 controls incl. new completeness gate. 434,289 HIT / 67,272 NO_HIT = 0.865875 call fraction across 613 families, RANGE 0.4279 (RVT-UG5) to 0.9648 (RVT-CRISPR). no-hit median 195 aa vs hit 402 aa
T-N1b-neighbourhood-census	6 genomic architecture	VOID	INSPECTED_FOR_ENDPOINT (neighbourhood_geometry)	none	local	~40G RAM	freeze c77adb9	2026-09-20T11:5xZ	none — gate held	VOID: N1b_NEG_permuted_anchor 0.070506 vs declared 0.05. Cross-record permutation ill-posed: coordinates are contig-global and records share contigs
T-N1c-neighbourhood-census	6 genomic architecture	VOID_ESCALATED	INSPECTED_FOR_ENDPOINT (neighbourhood_geometry)	none	local	~40G RAM	freeze b270147	2026-09-20T12:0xZ	none — gate held	VOID: N1c_NEG_random_position 0.284691 vs declared 0.25. THIRD null design to fail; ESCALATED, no fourth attempted. Discrimination control PASSED 1.000-0.285=0.715
